approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
130.0,1,162.0,5.71,True,5.0,0.0,0,1900.0,True,5.0,68.0,141.0,71.8,2,150
100.0,1,157.0,5.54,True,5.0,0.0,0,1800.0,True,4.5,62.5,131.5,67.9,2,100
80.0,1,110.0,3.88,True,5.0,0.0,3,1300.0,True,4.0,58.0,122.0,64.4,2,100
70.0,1,100.0,3.53,True,2.0,0.0,0,1300.0,True,3.5,52.3,112.5,62.0,2,100
360.0,1,117.4,4.16,True,13.0,1.3,5,2000.0,False,4.7,66.3,138.0,66.6,2,400
370.0,1,177.6,6.24,True,13.0,2.0,5,3400.0,False,6.0,77.7,158.5,80.6,2,400
160.0,1,110.0,3.88,True,8.0,1.3,5,2000.0,False,4.7,68.3,133.5,66.8,2,200
130.0,1,96.0,3.39,True,5.0,0.0,3,1700.0,False,4.3,64.7,127.1,62.0,2,150
130.0,1,340.0,11.99,False,0.0,0.0,7,3000.0,False,7.0,61.8,192.0,117.6,2,150
50.0,1,118.0,4.16,False,2.0,0.0,0,1300.0,True,3.5,50.9,115.0,62.3,2,50
370.0,1,130.0,4.59,True,13.1,2.1,5,2000.0,False,5.0,72.7,140.4,67.5,2,400
120.0,3,108.0,3.81,True,3.15,0.0,1,1400.0,True,3.5,50.9,115.0,62.3,2,150
220.0,1,152.6066606544705,4.75924591863177,True,5.0,0.0,5,1500.0,True,4.0,63.5,117.9,60.8,2,250
170.0,1,163.0,5.75,True,5.0,0.0,1,2500.0,True,5.0,63.5,143.0,78.4,2,200
100.0,1,350.0,12.35,False,0.0,0.0,0,3240.0,False,7.0,59.1,192.8,121.0,2,100
110.0,1,350.0,12.35,True,2.0,0.0,0,3300.0,False,7.0,59.5,191.0,125.0,2,150
270.0,1,115.0,4.06,True,8.0,1.3,5,1800.0,False,4.65,64.7,134.4,68.5,2,300
230.0,1,109.0,3.84,True,8.0,2.0,5,1800.0,False,4.66,66.7,133.0,67.5,2,250
100.0,1,118.0,4.16,True,2.0,0.0,5,1400.0,True,3.5,50.9,115.0,62.3,2,100
100.0,1,122.0,4.3,True,3.15,0.0,5,1400.0,True,3.5,51.8,115.0,61.2,2,100
140.0,1,136.5,4.8,True,5.0,0.0,5,1400.0,True,4.0,58.6,121.5,64.0,2,150
150.0,1,139.0,4.9,True,5.0,0.0,5,1800.0,True,4.5,62.7,131.0,68.0,2,150
